  1.000000  0.000000 0
  0.996550  0.001590 0
  0.987060  0.006500 0
  0.973040  0.014340 0
  0.955300  0.023810 0
  0.933580  0.033760 0
  0.907340  0.044000 0
  0.876710  0.054810 0
  0.842210  0.066200 0
  0.804360  0.078030 0
  0.763730  0.090100 0
  0.720900  0.102150 0
  0.676440  0.113910 0
  0.630920  0.125060 0
  0.584910  0.135240 0
  0.538930  0.144100 0
  0.493470  0.151160 0
  0.448700  0.155930 0
  0.404640  0.158280 0
  0.361490  0.158240 0
  0.319470  0.155900 0
  0.278850  0.151380 0
  0.239870  0.144850 0
  0.202860  0.136570 0
  0.168160  0.126760 0
  0.136110  0.115620 0
  0.107000  0.103370 0
  0.081060  0.090230 0
  0.058520  0.076460 0
  0.039530  0.062320 0
  0.024210  0.048120 0
  0.012620  0.034190 0
  0.004810  0.020930 0
  0.000710  0.008790 0
  0.000020  0.000880 0
  0.000330 -0.001920 0
  0.000710 -0.003620 0
  0.001250 -0.005180 0
  0.001570 -0.005900 0
  0.001940 -0.006560 0
  0.002370 -0.007170 0
  0.002880 -0.007710 0
  0.003480 -0.008230 0
  0.004150 -0.008740 0
  0.005710 -0.009690 0
  0.007510 -0.010570 0
  0.010650 -0.011770 0
  0.013650 -0.012660 0
  0.028920 -0.014850 0
  0.049470 -0.014820 0
  0.075330 -0.012360 0
  0.106700 -0.007400 0
  0.143850 -0.000020 0
  0.187270  0.009220 0
  0.236880  0.019130 0
  0.291960  0.028650 0
  0.351630  0.036870 0
  0.414490  0.042830 0
  0.478670  0.046260 0
  0.542750  0.047600 0
  0.605790  0.047150 0
  0.666900  0.045010 0
  0.725030  0.041260 0
  0.779120  0.036250 0
  0.828360  0.030500 0
  0.872190  0.024440 0
  0.910120  0.018440 0
  0.941790  0.012860 0
  0.966920  0.007940 0
  0.985190  0.003900 0
  0.996290  0.001060 0
  1.000000  0.000000 0
